Resultados
Nro, N,Total Secuencial,Tiempo secuencial,Total Paralela,Tiempo paralela,Aceleracion,Eficiencia
0,100000,2500.050000,0.001260,2500.050000,0.000374,3.368015,0.842004
1,200000,2500.025000,0.002570,2500.025000,0.000712,3.610608,0.902652
2,300000,2500.016667,0.003651,2500.016667,0.001648,2.215418,0.553854
3,400000,2500.012500,0.004823,2500.012500,0.001351,3.570162,0.892540
4,500000,2500.010000,0.005993,2500.010000,0.001854,3.231964,0.807991
5,600000,2500.008333,0.007075,2500.008333,0.002204,3.209497,0.802374
6,700000,2500.007143,0.008701,2500.007143,0.003036,2.865889,0.716472
7,800000,2500.006250,0.009336,2500.006250,0.002968,3.145295,0.786324
8,900000,2500.005556,0.010687,2500.005556,0.003467,3.082942,0.770736
9,1000000,2500.005000,0.013534,2500.005000,0.004605,2.938798,0.734700
